title,funder,funder_type,total_assets,total_giving,avg_grant_amount,median_grant_amount,ein,address,phone,website,contacts,notes,status,next_task,deadline,amount,mission_keywords,program_area_keywords,geographic_focus_keywords,funding_type_keywords,exclusion_keywords,keyword_enriched_by,keyword_enriched_at
WATERMAN CONSERVATION CENTER ENDOWMENT FUND INC,WATERMAN CONSERVATION CENTER ENDOWMENT FUND INC,Possible Foundation / Grantmaker,,,,,161604146,"403 HILTON RD, APALACHIN, NY 13732-1717",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 55,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
LITTLE DELAWARE YOUTH ENSEMBLE INC ENDOWMENT FUND,LITTLE DELAWARE YOUTH ENSEMBLE INC ENDOWMENT FUND,Possible Foundation / Grantmaker,,,,,456952766,"124 MAIN ST, DELHI, NY 13753-1213",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 55,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
INDIA YOUTH FUND,INDIA YOUTH FUND,Possible Foundation / Grantmaker,,,,,454510160,"103 CATHERINE AVE, FRANKLIN SQ, NY 11010-1513",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 55,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
BROOKLYN YOUTH BOXING FUND INC,BROOKLYN YOUTH BOXING FUND INC,Possible Foundation / Grantmaker,,,,,922867436,"445 PARK AVENUE 9TH FLOOR, NEW YORK, NY 10022-8606",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 55,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
AKINDALE REHABILITATION & LAND CONSERVATION FUND,AKINDALE REHABILITATION & LAND CONSERVATION FUND,Possible Foundation / Grantmaker,,,,,201822473,"27 COX RD, PAWLING, NY 12564-3301",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 55,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
NEW YORK LEAGUE OF CONSERVATION VOTERS EDUCATION FUND INC,NEW YORK LEAGUE OF CONSERVATION VOTERS EDUCATION FUND INC,Possible Foundation / Grantmaker,,,,,133727122,"30 BROAD STREET 30TH FLOOR, NEW YORK, NY 10004-2909",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 55,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
SUSTAINABLE CHARITABLE LEGACY INC,SUSTAINABLE CHARITABLE LEGACY INC,Possible Foundation / Grantmaker,,,,,833902827,"10820 71ST AVENUE, FOREST HILLS, NY 11375-4526",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 55,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
YOUTH ORCHESTRA FOUNDATION OF BUFFALO INC,YOUTH ORCHESTRA FOUNDATION OF BUFFALO INC,Possible Foundation / Grantmaker,,,,,161019362,"342 YOUNG ST, TONAWANDA, NY 14150-4013",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
CLINTON YOUTH FOUNDATION INC,CLINTON YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,150590837,"PO BOX 32, CLINTON, NY 13323-0032",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
NBS EASTERN REGION YOUTH DEVELOPMENT FOUNDATION INC,NBS EASTERN REGION YOUTH DEVELOPMENT FOUNDATION INC,Possible Foundation / Grantmaker,,,,,850893364,"15 TODD RD, KATONAH, NY 10536-2807",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
CAPITAL REGION YOUTH TENNIS FOUNDATION INC,CAPITAL REGION YOUTH TENNIS FOUNDATION INC,Possible Foundation / Grantmaker,,,,,141733312,"785 WASHINGTON AVE, ALBANY, NY 12206-1801",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
SAVE OUR YOUTH FOUNDATION,SAVE OUR YOUTH FOUNDATION,Possible Foundation / Grantmaker,,,,,852890253,"232 SHIRLEY AVE, BUFFALO, NY 14215-1022",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
YOUTH SAVING SOCIETY FOUNDATION INC,YOUTH SAVING SOCIETY FOUNDATION INC,Possible Foundation / Grantmaker,,,,,844208316,"19519 119TH AVE, SAINT ALBANS, NY 11412-3435",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
WHIPPLE HERITAGE CONSERVATION FOUNDATION INC,WHIPPLE HERITAGE CONSERVATION FOUNDATION INC,Possible Foundation / Grantmaker,,,,,843926179,"520 GIPSY TRAIL RD, CARMEL, NY 10512-4206",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
YOUTH FOUNDATION INC,YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,136093036,"370 LEXINGTON AVE RM 1206, NEW YORK, NY 10017-6584",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
GRAYSON CULTURE & YOUTH FOUNDATION INC,GRAYSON CULTURE & YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,883868534,"14425 SANFORD AVE UNIT 3, FLUSHING, NY 11355-1611",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
BUKHARIAN YOUTH FOUNDATION,BUKHARIAN YOUTH FOUNDATION,Possible Foundation / Grantmaker,,,,,884369340,"75-63 113TH STREET, FOREST HILLS, NY 11375-5670",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
KEN-TON FRIENDS OF YOUTH FOUNDATION INC,KEN-TON FRIENDS OF YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,161501830,"PO BOX 607, KENMORE, NY 14217-0607",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
YOUTH FORWARD FOUNDATION INC,YOUTH FORWARD FOUNDATION INC,Possible Foundation / Grantmaker,,,,,333608049,"3 ARROWHEAD RD, SARATOGA SPGS, NY 12866-8734",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
THE BLOSSOMS YOUTH FOUNDATION INC,THE BLOSSOMS YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,333916001,"601 RIDGE HILL BLVD APT 705, YONKERS, NY 10710-7748",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
ROYAL CONSERVATORY OF MUSIC FOUNDATION,ROYAL CONSERVATORY OF MUSIC FOUNDATION,Possible Foundation / Grantmaker,,,,,133870382,"491 DELAWARE AVE, BUFFALO, NY 14202-1303",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
COUNTRY STORES YOUTH FOUNDATION INC,COUNTRY STORES YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,161525114,"PO BOX 519, ROSCOE, NY 12776-0519",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
LANCASTER YOUTH FOUNDATION INCORPORATED,LANCASTER YOUTH FOUNDATION INCORPORATED,Possible Foundation / Grantmaker,,,,,161534569,"200 OXFORD AVE, LANCASTER, NY 14086-3070",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
VOLUNTEER SAGE FOUNDATION INC,VOLUNTEER SAGE FOUNDATION INC,Possible Foundation / Grantmaker,,,,,921125144,"12 MAIN ST APT 2099, BREWSTER, NY 10509-6402",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
CHILDRENS ENVIRONMENTAL LITERACY FOUNDATION,CHILDRENS ENVIRONMENTAL LITERACY FOUNDATION,Possible Foundation / Grantmaker,,,,,364540146,"500 SUMMIT LAKE DRIVE, VALHALLA, NY 10595-1340",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
REALIST CREATORS YOUTH FOUNDATION,REALIST CREATORS YOUTH FOUNDATION,Possible Foundation / Grantmaker,,,,,832289992,"496 EGGERT ROAD, BUFFALO, NY 14215-2370",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
LONG ISLAND CONSERVANCY FOUNDATION INC,LONG ISLAND CONSERVANCY FOUNDATION INC,Possible Foundation / Grantmaker,,,,,384338831,"275 CANDEE AVE, SAYVILLE, NY 11782-3059",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
JAMIL FOUNDATION FOR CHILDREN & YOUTH CORP,JAMIL FOUNDATION FOR CHILDREN & YOUTH CORP,Possible Foundation / Grantmaker,,,,,831944715,"4610 61ST ST APT 11H, WOODSIDE, NY 11377-5730",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
ALL ABOUT THE YOUTH FOUNDATION INC,ALL ABOUT THE YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,392818946,"71 UNION PL, HEMPSTEAD, NY 11550-1518",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
LIFTING YOUTH FOUNDATION,LIFTING YOUTH FOUNDATION,Possible Foundation / Grantmaker,,,,,392965641,"1293 NORTH AVE, NEW ROCHELLE, NY 10804-2604",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
YOUTHFUL SAVINGS FOUNDATION,YOUTHFUL SAVINGS FOUNDATION,Possible Foundation / Grantmaker,,,,,831210964,"447 BROADWAY FL 2 PMB 803, NEW YORK, NY 10013-2562",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
YOUTHS IN NEED FOUNDATION INC,YOUTHS IN NEED FOUNDATION INC,Possible Foundation / Grantmaker,,,,,394371701,"41 ELZEY AVE, ELMONT, NY 11003-1532",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
MAUI YOUTH FOUNDATION INC,MAUI YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,394103860,"20 E HAMPTON RD, LINDENHURST, NY 11757-6719",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
BASIC YOUTH FOUNDATION INC,BASIC YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,412158090,"908 CLEVELAND ST, BROOKLYN, NY 11208-5216",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
FRIENDS OF FAI THE ITALIAN ENVIRONMENT FOUNDATION INC,FRIENDS OF FAI THE ITALIAN ENVIRONMENT FOUNDATION INC,Possible Foundation / Grantmaker,,,,,133599581,"24 W 12TH ST, NEW YORK, NY 10011-8604",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
INTERNATIONAL YOUTH GOLF FOUNDATION INC,INTERNATIONAL YOUTH GOLF FOUNDATION INC,Possible Foundation / Grantmaker,,,,,923168939,"13550 ROOSEVELT AVE, FLUSHING, NY 11354-5338",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
RYAN RECTOR YOUTH OPPORTUNITY FOUNDATION INC,RYAN RECTOR YOUTH OPPORTUNITY FOUNDATION INC,Possible Foundation / Grantmaker,,,,,923537680,"PO BOX 522, NAPLES, NY 14512-0522",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
MARTINE YOUTH FOUNDATION INC,MARTINE YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,453962662,"45 E DOVER ST, VALLEY STREAM, NY 11580-4105",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
LI YOUTH LEADERSHIP FOUNDATION INC,LI YOUTH LEADERSHIP FOUNDATION INC,Possible Foundation / Grantmaker,,,,,461133898,"25 CLEVELAND AVE, SAYVILLE, NY 11782-1322",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
NEW YORK ART FOUNDATION FOR YOUTH INC,NEW YORK ART FOUNDATION FOR YOUTH INC,Possible Foundation / Grantmaker,,,,,932320492,"6 HAZELTON DR, SCARSDALE, NY 10583-7410",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
MASORTI FOUNDATION FOR CONSERVATIVE JUDAISM IN ISRAEL,MASORTI FOUNDATION FOR CONSERVATIVE JUDAISM IN ISRAEL,Possible Foundation / Grantmaker,,,,,133137586,"3080 BROADWAY, NEW YORK, NY 10027-4650",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
YEWA YOUTH INTERNATIONAL FOUNDATION OF USA & CANADA INC,YEWA YOUTH INTERNATIONAL FOUNDATION OF USA & CANADA INC,Possible Foundation / Grantmaker,,,,,932624777,"217 HAMILTON AVE APT 3H, STATEN ISLAND, NY 10301-1636",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
AUGUST WEST FOUNDATION FOR SUSTAINABLE AGRICULTURE INC,AUGUST WEST FOUNDATION FOR SUSTAINABLE AGRICULTURE INC,Possible Foundation / Grantmaker,,,,,463734141,"336 STANTON RD, CAMBRIDGE, NY 12816-2248",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
CITY ISLAND YOUTH FOUNDATION INC,CITY ISLAND YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,821730840,"63 PILOT ST, BRONX, NY 10464-1627",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
THOMAS R BERTOLINE YOUTH SPORTS FOUNDATION,THOMAS R BERTOLINE YOUTH SPORTS FOUNDATION,Possible Foundation / Grantmaker,,,,,463771919,"2 BLAKE LN, CORTLANDT MNR, NY 10567-6733",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
BACKCOUNTRY YOUTH FOUNDATION,BACKCOUNTRY YOUTH FOUNDATION,Possible Foundation / Grantmaker,,,,,933160566,"153 MULLEN BAY LN, WESTPORT, NY 12993-3014",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
HAPPY FEET YOUTH SPORTS FOUNDATION INC,HAPPY FEET YOUTH SPORTS FOUNDATION INC,Possible Foundation / Grantmaker,,,,,464992419,"PO BOX 1046, WARWICK, NY 10990-8046",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
SAGE BROOK HORSE FOUNDATION & YOUTH PROGRAM,SAGE BROOK HORSE FOUNDATION & YOUTH PROGRAM,Possible Foundation / Grantmaker,,,,,465158863,"24 COUNTY ROUTE 58A, MEXICO, NY 13114-4300",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 50,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
