title,funder,funder_type,total_assets,total_giving,avg_grant_amount,median_grant_amount,ein,address,phone,website,contacts,notes,status,next_task,deadline,amount,mission_keywords,program_area_keywords,geographic_focus_keywords,funding_type_keywords,exclusion_keywords,keyword_enriched_by,keyword_enriched_at
KEEP CONSERVATION FOUNDATION,KEEP CONSERVATION FOUNDATION,Possible Foundation / Grantmaker,,,,,133999907,"4 VERANDAH PL, BROOKLYN, NY 11201-6106",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
SUSTAINABLE MARKETS FOUNDATION,SUSTAINABLE MARKETS FOUNDATION,Possible Foundation / Grantmaker,,,,,134188834,"40 W 37TH ST RM 1000, NEW YORK, NY 10018-7311",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
KURAMO FOUNDATION FOR SUSTAINABLE DEVELOPMENT INC,KURAMO FOUNDATION FOR SUSTAINABLE DEVELOPMENT INC,Possible Foundation / Grantmaker,,,,,883327466,"500 5TH AVENUE 44TH FLOOR, NEW YORK, NY 10110-4399",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
RYE YOUTH ATHLETIC FOUNDATION,RYE YOUTH ATHLETIC FOUNDATION,Possible Foundation / Grantmaker,,,,,842394249,"16 VALLEYVIEW AVE, RYE, NY 10580-3234",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
BRANDEL-MURPHY YOUTH FOUNDATION INC,BRANDEL-MURPHY YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,274426856,"139 BROADWAY, W HEMPSTEAD, NY 11552-1409",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
VOLUNTEER TRANSPORTATION CENTER FOUNDATION INC,VOLUNTEER TRANSPORTATION CENTER FOUNDATION INC,Possible Foundation / Grantmaker,,,,,843668566,"24685 STATE ROUTE 37, WATERTOWN, NY 13601-5191",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
EL TRIUNFO CONSERVATION FOUNDATION,EL TRIUNFO CONSERVATION FOUNDATION,Possible Foundation / Grantmaker,,,,,844308914,"PO BOX 41, DELMAR, NY 12054-0041",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
AKF FOUNDATION FOR CULTURE AND ENVIRONMENT,AKF FOUNDATION FOR CULTURE AND ENVIRONMENT,Possible Foundation / Grantmaker,,,,,263398852,"PO BOX 638, MOUNT VISION, NY 13810-0638",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
KOREAN-AMERICAN YOUTH FOUNDATION INC,KOREAN-AMERICAN YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,113186054,"16401 NORTHERN BLVD STE 2, FLUSHING, NY 11358-1755",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
MARTI YOUTH FOUNDATION INC,MARTI YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,991359570,"PO BOX 20031, FLORAL PARK, NY 11002-0031",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
